CNAE;Segmento;0-40;40-70;70-90;90-100;Total
5611;Restaurantes e afins.;21,5;24,1;26,4;28,0;100,0
"4744
4741
4742
4743";"Varejo de ferragens, madeira, e mat. construção. 
Varejo de tintas e materiais para pintura.
Varejo de material elétrico.
Varejo de vidros.";21,6;25,1;26,6;26,7;100,0
"4530
4520
4541";"Comércio de peças e acessórios para veículos.
Manut. e reparação de veículos.
Atacado e varejo de motocicletas, peças e acess.";23,1;26,9;28,5;21,5;100,0
4781;Varejo de artigos do vestuário.;26,5;26,3;24,5;22,8;100,0
"4771
4772";"Varejo de fármacos de uso humano e veterinário.
Varejo de cosméticos, produtos de perfumaria, etc.";29,1;28,9;24,6;17,4;100,0
"4754
3101";"Varejo de móveis, colchoaria e iluminação.
Fabricação de móveis de madeira.";27,2;26,0;25,1;21,7;100,0
4782;Varejo de calçados e artigos de viagem.;28,7;27,2;24,6;19,6;100,0
"4751
9511";"Varejo de equip. e supr. em informática.
Reparação e manut. de computadores e periféricos.";15,2;22,0;28,0;34,8;100,0
8599;Ativ. de ensino não especificadas.;19,8;26,0;24,3;29,9;100,0
4755;Varejo de tecidos e artigos cama, mesa e banho.;23,3;26,7;26,8;23,2;100,0
8630;Ativ. de médicos e odontólogos.;18,9;24,9;28,4;27,8;100,0
5510;Hotéis e similares.;3,9;9,9;23,3;62,8;100,0
4761;Varejo de livros, jornais, revistas e papelaria.;36,0;24,9;21,8;17,3;100,0
4763;Varejo de artigos recreativos e esportivos.;22,6;23,0;25,9;28,6;100,0
4774;Varejo de artigos de óptica.;20,4;25,0;25,5;29,2;100,0
6622;Corret. de seguros, planos previd. complem., saúde, etc;5,0;13,9;29,3;51,8;100,0
4759;Varejo de artigos uso doméstico não especificados.;20,9;23,7;23,3;32,1;100,0
4722;Varejo carnes e pescados - açougues e peixarias.;36,1;28,5;22,2;13,2;100,0
"8512
8511";"Educação pré-escolar.
Educação infantil.";13,1;21,0;24,0;42,0;100,0
4753;Varejo de eletrod. e equip.de áudio e vídeo.;31,0;28,0;24,5;16,5;100,0
8513;Ensino fundamental.;12,3;17,8;26,5;43,4;100,0
9602;Cabeleireiros e outras ativ. de tratamento de beleza.;21,4;24,8;26,8;27,0;100,0
4723;Varejo de bebidas.;18,8;26,1;29,6;25,5;100,0
4752;Varejo de equip. de telefonia e comunicação.;28,0;27,0;25,6;19,5;100,0
4783;Varejo de joias e relógios.;14,7;21,5;24,0;39,8;100,0
8650;Ativ. profiss. saúde, exceto médicos e odontólogos.;8,5;14,3;22,3;54,9;100,0
8640;Ativ. serv. de complem. diagn. e terapêutica.;29,1;33,1;23,5;14,3;100,0
4784;Varejo de gás liquefeito de petróleo (GLP).;45,5;30,8;17,3;6,4;100,0
4724;Varejo de hortifrutigranjeiros.;26,3;26,8;26,5;20,3;100,0
7911;Agências de viagens.;5,4;15,8;27,8;51,0;100,0
4757;Varejo de. peças de eletrodomésticos.;24,8;27,2;25,8;22,2;100,0
9001;Artes cênicas, espetáculos e ativ. complementares.;14,3;20,6;28,2;36,9;100,0
9313;Ativ. de condicionamento físico.;7,3;13,8;22,5;56,4;100,0
4773;Varejo de artigos médicos e ortopédicos.;19,3;24,1;28,0;28,7;100,0
8593;Ensino de idiomas;10,9;15,1;27,1;46,9;100,0
8520;Ensino médio;12,7;14,0;34,9;38,5;100,0
